"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bljk_SB_MT128x128x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU32_SUM3_SUS128_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_16_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_8_1_WGM1",512,612623871,1196530,0.22613358423810156
"mloPoolingG",512,611898691,1195114,0.22586590359361394
"mloPoolingMaxBwd",512,568783841,1110905,0.20995121919113802
"updateVars(int, float const*, float const*, float, float, float*, int)",81760,555240160,6791,0.20495193451862243
"filterAvgPoolDeriv(float const*, int, int, int, float*)",512,538929889,1052597,0.19893143774120456
"Cijk_Ailk_Bljk_SB_MT128x128x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_16_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_8_1_WGM1",512,528685964,1032589,0.1951501690271157
"updateParams(int, float*, float const*, float const*, float, float, float, float, float, int)",81760,494100570,6043,0.18238390333338644
"doFilterAvgPool(float const*, int, float*)",512,320687539,626342,0.11837315855190693
"softMax(float const*, int, int, float*)",512,153507913,299820,0.056663307159313524
"Cijk_Ailk_Bjlk_SB_MT64x64x8_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_8_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG8_8_1_WGM1",512,150017509,293002,0.055374918631993134
"Cijk_S",65536,109029139,1663,0.04024516698674999
"MIOpenBatchNormFwdTrainSpatialFinalMeanVariance",6656,89571507,13457,0.03306290675623739
"SubTensorOpWithScalar1d",7168,57044042,7958,0.02105627006638271
"transpose(float const*, int, int, float*)",1024,10804211,10550,0.003988083184396064
"crossEntropyDeriv(float*, int const*, int, int)",512,1282688,2505,0.00047346969099609575
"void rocrand_host::detail::generate_kernel<float, normal_distribution<float, unsigned int, 4u>>(rocrand_device::xorwow_engine*, unsigned int, float*, unsigned long, normal_distribution<float, unsigned int, 4u>)",54,1043767,19329,0.0003852784457030251
"rocrand_host::detail::init_engines_kernel(rocrand_device::xorwow_engine*, unsigned int, unsigned long long, unsigned long long)",1,679085,679085,0.00025066591806431783
"setVal(int, float, float*)",53,120840,2280,4.460482787705834e-05
